xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Reference: Gushchin, E.M., Kruglov, A.A., Obodovskii, I.M., 1982. Electron dynamics in condensed argon and xenon. Soviet Journal of Experimental and Theoretical Physics 55, 650.
DOI: 
URL: https://ui.adsabs.harvard.edu/abs/1982JETP...55..650G/abstract
COMMENTS: Use standard algebra to define units, insite ASCII symbols rather than latex (μs rather than \mu s)
COMMENTS: Use NaN for missing values
COMMENTS: Columns can be either x | y, x | y | y_error, x | x_error | y | y_error
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx

SPECIES: e / Xe
Density: NaN
Pressure: NaN
Temperature: 165 K
Phase: Liquid
Field: NaN
PROCESS: Drift Velocity (cm/s)
COMMENTS: Insert comments as needed
COMMENTS: 1 line per point
COLUMNS: Electric field (V/cm) | Drift Velocity (cm/s)
-----------------------------
794.183997635626, 199070.50937847927
862.4607350321949, 201971.07188858333
942.1646300756763, 206738.59267175724
1041.39607908083, 209735.06387740816
1140.9256026254875, 210899.6438639665
1228.0947261158763, 212716.13139813225
1321.8739041481406, 212020.0458824651
1431.3643987916755, 218323.11941209497
1563.5548051201915, 219538.14531039784
1702.932820571981, 220762.70820926043
1849.387846291966, 225979.48621297107
2002.3834029906743, 225902.8015534801
2168.1585687922393, 229877.4331888115
2354.4461898473633, 229796.53713190177
2556.86011999093, 233144.79410194443
2784.678096365393, 231682.57062898815
3032.9949642707843, 235055.35334314665
3255.0948274718785, 236381.32633583623
3534.77172954291, 236298.14149701846
3793.3653033290434, 232752.40746183478
4168.240167797879, 235433.12487100478
4513.0689857252755, 235353.23218111473
4915.325523289903, 235965.69477411459
5243.950684615134, 232430.79264198022
5728.297838442288, 234417.994755899
6220.9408817415515, 239957.45678114844
6597.584108244284, 232892.15601310207
7122.590337252031, 234895.11323644157
7712.043795728994, 236912.318516723
8374.976420150932, 239652.99739244353
